run_id,score,threshold,bad_state_multiplier,lookback_rebalances,min_history_rebalances,annualized_return,sharpe_ratio,max_drawdown,signal_gate_active_rate
100,3.7952932131310853,0.02,0.6,20,8,0.465013313987648,1.4799567278594015,-0.35432713503279434,0.21100917431192662
99,3.7605789283480764,0.02,0.6,20,6,0.457956563668503,1.4672391558085969,-0.3543267871985992,0.22935779816513763
20,3.7441424391080806,0.0,0.6,20,8,0.47980897675240497,1.4544496567313185,-0.3542650023822309,0.07339449541284404
19,3.734141967907295,0.0,0.6,20,6,0.4772128473935755,1.4511387994908496,-0.35426627898000695,0.08256880733944955
96,3.7223050717951383,0.02,0.45,20,8,0.4480000511795996,1.4524089928048198,-0.3543212621133536,0.21100917431192662
16,3.7135565520844267,0.0,0.45,20,8,0.4730258703921797,1.4428850577282328,-0.3542650023822309,0.07339449541284404
18,3.6998464264872855,0.0,0.6,12,8,0.4634701156478347,1.4382350266427693,-0.3542650023822309,0.12844036697247707
15,3.699718819158859,0.0,0.45,20,6,0.469492215300942,1.4382509177756266,-0.3542660147806673,0.08256880733944955
38,3.6991736441143175,0.005,0.6,12,8,0.4629932455696162,1.4379163798554702,-0.3542650023822309,0.13761467889908258
80,3.695237480188921,0.015,0.6,20,8,0.4572949086342166,1.4386332196754603,-0.35425448952606775,0.1834862385321101
60,3.6940672281004474,0.01,0.6,20,8,0.46129090582325993,1.4364863437057085,-0.3542650023822309,0.1559633027522936
17,3.69001781276691,0.0,0.6,12,6,0.4609026522135764,1.4349940578436327,-0.35426627898000695,0.13761467889908258
40,3.682814881993269,0.005,0.6,20,8,0.46253025926698,1.4316719956109727,-0.3542650023822309,0.12844036697247707
58,3.682083087258616,0.01,0.6,12,8,0.4605671641413569,1.4309820327690506,-0.3542650023822309,0.14678899082568808
12,3.680192210688487,0.0,0.35,20,8,0.4669690978562908,1.429884431342767,-0.3542650023822309,0.07339449541284404
95,3.672179697590174,0.02,0.45,20,6,0.43808946638643076,1.433966400322094,-0.3543207116330711,0.22935779816513763
37,3.6649186704070837,0.005,0.6,12,6,0.4560366200411432,1.4253291555397567,-0.35426776226781764,0.1559633027522936
11,3.664622346312588,0.0,0.35,20,6,0.46302770701593987,1.42463774539286,-0.35426552712199955,0.08256880733944955
8,3.662802773062033,0.0,0.3,20,8,0.4639478359451805,1.423084414782963,-0.3542650023822309,0.07339449541284404
