stage,candidate_id,model_prediction,momentum_residual,reversal_regime,vol_compression_breakout,liquidity_impulse,score,annualized_return,weekly_sharpe_ratio,max_drawdown,average_turnover,annualized_return_rel_improvement,weekly_sharpe_drop,drawdown_worsening,turnover_excess,accepted
refined,refined_0011,1.0,0.0,0.0,0.0,0.075,0.6193046134591149,0.4625886823026826,1.5671593115643236,-0.352664731961846,0.3447058676056192,0.0031229690659244635,-0.006647274308492435,-0.003185281884756641,-0.0552941323943808,False
refined,refined_0005,1.0,0.075,0.0,0.0,0.0,0.6176747053872297,0.4612646377927707,1.5641006759445895,-0.3549838595547212,0.3432684844714778,0.00025178023063610055,-0.00358863868875825,-0.0008661542918814158,-0.056731515528522236,False
coarse,coarse_0001,1.0,0.0,0.0,0.0,0.0,0.6171997334351861,0.46114852970960296,1.5605120372558312,-0.35585001384660264,0.3443227494314729,0.0,0.0,0.0,-0.055677250568527126,False
refined,refined_0002,0.925,0.0,0.0,0.0,0.0,0.6171997334351861,0.46114852970960296,1.5605120372558312,-0.35585001384660264,0.3443227494314729,0.0,0.0,0.0,-0.055677250568527126,False
refined,refined_0003,1.075,0.0,0.0,0.0,0.0,0.6171997334351861,0.46114852970960296,1.5605120372558312,-0.35585001384660264,0.3443227494314729,0.0,0.0,0.0,-0.055677250568527126,False
refined,refined_0007,1.0,0.0,0.075,0.0,0.0,0.6170264988085105,0.46040221778208723,1.566242810264232,-0.3546309948133518,0.3441787874375288,-0.0016183764653564525,-0.005730773008400858,-0.0012190190332508344,-0.055821212562471245,False
refined,refined_0009,1.0,0.0,0.0,0.075,0.0,0.6071573907800277,0.45343212573336666,1.5372526504666109,-0.35888661451268355,0.34348572895459545,-0.016733012205623843,0.02325938678922035,0.003036600666080913,-0.056514271045404574,False
