run_id,horizon_days,long_short_quantile,weight_max,gross_exposure_target,turnover_cap,status,error,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid,average_gross_exposure,average_net_exposure,ex_ante_factor_exposure_l1,ex_post_factor_beta_l1,ex_post_factor_r2
57,10,0.25,0.1,1.2,0.05,ok,,0.015149324547041987,0.03224317518234495,0.46984592743636305,0.48721758477064286,-0.04766811397703263,0.05,77.00000000000001,0.31910618797072776,0.021973606937125665,0.09781507385649903,0.13404036771125583,0.25428440007502306
93,10,0.3,0.1,1.2,0.05,ok,,0.012274485695244142,0.02937348353099019,0.4178764048293445,0.43108239889729333,-0.04437323911683988,0.05,77.00000000000001,0.3132099732810102,0.022290931677899365,0.09227782768419157,0.13112174059049067,0.2668370775488358
77,10,0.3,0.08,1.0,0.05,ok,,0.010231641923721835,0.026095632559626217,0.3920825410284053,0.406254505253318,-0.04275138244581911,0.05000000000000001,77.00000000000001,0.2664576497625248,0.016377929739992157,0.07251293892565665,0.12444170773798613,0.2550557884673509
58,10,0.25,0.1,1.2,0.1,ok,,0.013599252555191788,0.03668834535278196,0.3706695525357237,0.38781536520591947,-0.048726101628814966,0.1,154.00000000000003,0.3959323869794129,0.020725486732122534,0.0978296405394647,0.12183775963854929,0.16984439567249832
33,10,0.2,0.12,1.2,0.05,ok,,0.012128649364027355,0.03309844602053768,0.3664416557956073,0.374161381847032,-0.042391884603462215,0.05,77.00000000000001,0.34267424180040895,0.007717661524186936,0.07783606019199032,0.08932800204430327,0.14867616363988412
17,10,0.2,0.1,1.0,0.05,ok,,0.00992231675987787,0.028889998210153922,0.3434516225200211,0.35221570289507464,-0.03817531298756227,0.05000000000000001,77.00000000000001,0.30210449876333023,0.0062863218037226025,0.06526191429910551,0.07530976618324303,0.13696617089239838
94,10,0.3,0.1,1.2,0.1,ok,,0.010848636423539837,0.033286606592758915,0.3259159624249539,0.3367310022420042,-0.047236028990376266,0.10000000000000002,154.00000000000003,0.3922372835236487,0.021171386480644896,0.09058647826068775,0.12144403622090372,0.18505633840947944
59,10,0.25,0.1,1.2,0.15,ok,,0.012583369935224464,0.03966678909715816,0.317226834377829,0.3334999599919118,-0.06272948313601956,0.14999999999999994,231.00000000000003,0.45191912737201406,0.019887094433396004,0.09639778539569062,0.10344513740374427,0.12184598737215946
78,10,0.3,0.08,1.0,0.1,ok,,0.009440713475133089,0.029318553230351336,0.3220047524500566,0.33273077202665474,-0.048745315079683826,0.1,154.00000000000003,0.3364228551595548,0.016245832606998054,0.07179967283317731,0.11079875766939132,0.17074455493329044
80,10,0.3,0.08,1.0,0.2,ok,,0.010463400181699889,0.033364223384018274,0.31361138130707816,0.32047826652656325,-0.072698413741075,0.2,308.00000000000006,0.43032450594147825,0.0150935706820301,0.06883736460980036,0.07716713405280601,0.08282537132015932
1,10,0.2,0.08,0.8,0.05,ok,,0.007558393599866653,0.024401727635398263,0.30974829785830826,0.3195418903354099,-0.033058574789652795,0.05,77.00000000000001,0.25856059927373415,0.004886063663044936,0.05247026098861923,0.059716507326243506,0.12188572534572528
79,10,0.3,0.08,1.0,0.15,ok,,0.009683971306859052,0.03135256361638181,0.3088733484555996,0.31746262194132546,-0.06264352498414527,0.14999999999999994,231.00000000000003,0.38731066542993897,0.015652587852384603,0.07014080518923756,0.09017835581044079,0.11368861387557405
60,10,0.25,0.1,1.2,0.2,ok,,0.012291983605051682,0.04222827019068045,0.2910842321872909,0.3056640235491345,-0.07527444735760624,0.20000000000000004,308.00000000000006,0.4978956871497163,0.01941772434502001,0.09540000503424112,0.09225675794528466,0.09788023817395475
129,10,0.35,0.1,1.2,0.05,ok,,0.008656163706251663,0.02887999274299591,0.2997287355049973,0.30515998107804476,-0.04942678668329792,0.05,77.00000000000001,0.31391709990496947,0.02225387530511543,0.09579988064859317,0.13407049689215134,0.26895639883979294
95,10,0.3,0.1,1.2,0.15,ok,,0.010519548607497597,0.03580940839424897,0.2937649371830183,0.3034243141444525,-0.06198514352075457,0.14999999999999994,231.00000000000003,0.44773762230029995,0.020536916914961248,0.08861168834570132,0.10630722648362083,0.13646304934414222
96,10,0.3,0.1,1.2,0.2,ok,,0.010870514032946588,0.03804937816902533,0.2856949194979458,0.29417610572872865,-0.07538100844297968,0.2,308.00000000000006,0.4938017503060683,0.020131870172235136,0.08717969267354404,0.09747003194413867,0.11027888477440895
113,10,0.35,0.08,1.0,0.05,ok,,0.007099703071394403,0.025690640239275572,0.2763536838813559,0.2833774302773739,-0.04521882080436024,0.05000000000000001,77.00000000000001,0.26861273865127605,0.016331451978652947,0.07543348502154194,0.1263888179719215,0.2566027435044721
117,10,0.35,0.08,1.2,0.05,ok,,0.006723739532698225,0.025649772613517946,0.2621364186735394,0.2624380028716468,-0.04899704741831412,0.05000000000000001,77.00000000000001,0.28492081677913705,0.0042723115871193115,0.06641503647333108,0.0991278494606479,0.17929651892845722
34,10,0.2,0.12,1.2,0.1,ok,,0.009850593985150091,0.0391401731669306,0.25167476758822377,0.2617423201957841,-0.05434077031861151,0.1,154.00000000000003,0.42319996210278543,0.007137677058315696,0.07906546424807465,0.08505718369144648,0.10264910329761989
116,10,0.35,0.08,1.0,0.2,ok,,0.007829757584468355,0.03290800171294327,0.2379286853321385,0.2416814706970485,-0.0681377415344877,0.20000000000000004,308.00000000000006,0.43425131732495464,0.014880096192525871,0.06854723750658413,0.07330350207821583,0.07444943491700073
69,10,0.25,0.12,1.2,0.05,ok,,0.006576406558791881,0.028446577673456198,0.23118445509627666,0.23549517217953417,-0.05078068026437188,0.05,77.00000000000001,0.3272402022362246,0.007732945888055727,0.07651106747856758,0.08986767841685098,0.16340734184177885
18,10,0.2,0.1,1.0,0.1,ok,,0.0075329825192016475,0.03398563713650184,0.2216519434061439,0.2315201287315082,-0.04877321903845855,0.1,154.00000000000003,0.3732884682116462,0.005837364431265132,0.06602890041382657,0.06704061988252955,0.09119546449076288
115,10,0.35,0.08,1.0,0.15,ok,,0.006783504431197684,0.030871023670246026,0.21973694502834812,0.22436957264611537,-0.0592776115960687,0.14999999999999994,231.00000000000003,0.39118453309410706,0.015463569559998152,0.07046509838649083,0.0881351017098514,0.10653778036993522
114,10,0.35,0.08,1.0,0.1,ok,,0.0062625877510242844,0.02881853366902717,0.2173111173159731,0.22257785297241886,-0.04799362414273989,0.10000000000000002,154.00000000000003,0.3399886821781503,0.016020261251025916,0.07296531886929718,0.11020380425122944,0.16556080963404485
53,10,0.25,0.1,1.0,0.05,ok,,0.005360280572939802,0.024801661230270295,0.21612586847197188,0.2206016180116482,-0.04192712462021253,0.05000000000000001,77.00000000000001,0.2887943957812786,0.006312844594270513,0.06371457421339535,0.07581032479032195,0.15197019197442985
130,10,0.35,0.1,1.2,0.1,ok,,0.007026324367345849,0.03275825036473586,0.21449022121491756,0.21904316772295804,-0.05723003919549319,0.1,154.00000000000003,0.39571606627644623,0.021149948445423485,0.09200125771440504,0.12134259156455385,0.18062444632799424
37,10,0.25,0.08,0.8,0.05,ok,,0.004169933213375332,0.020916226672112893,0.19936355054590246,0.20411210300930444,-0.033402172048465295,0.05000000000000001,77.00000000000001,0.2473367677756191,0.004959398126852948,0.0506740625625153,0.06034757564373512,0.13700950704784942
40,10,0.25,0.08,0.8,0.2,ok,,0.005790939637916992,0.029282222231674402,0.19776298370049825,0.20325927155973295,-0.06726859614421166,0.20000000000000004,308.00000000000006,0.3908201838262633,0.00468112024047477,0.0476489958255677,0.046174353343930254,0.06146940045393068
132,10,0.35,0.1,1.2,0.2,ok,,0.007433737041950383,0.0375438286969426,0.1980015704300226,0.20229106735047436,-0.06960628568002691,0.20000000000000004,308.00000000000006,0.4982980406960533,0.020071817429963244,0.08647457807927508,0.09268016620533105,0.1010241715115564
131,10,0.35,0.1,1.2,0.15,ok,,0.006883979273197172,0.03527027555198208,0.1951779271769912,0.1997785976771386,-0.06181461624864637,0.14999999999999994,231.00000000000003,0.4517089510790875,0.020477647862084006,0.08862646022098972,0.10365954881457316,0.12889299105795482
2,10,0.2,0.08,0.8,0.1,ok,,0.005380278514920622,0.028558010315769797,0.18839822716744453,0.1974370993088523,-0.042056780010310546,0.1,154.00000000000003,0.32045890636443036,0.004549980625448351,0.05294630362225912,0.049317230542444766,0.0788375503688643
39,10,0.25,0.08,0.8,0.15,ok,,0.005080988315752988,0.02710729542416552,0.18743988421742014,0.19371937948543722,-0.05716236491967586,0.14999999999999994,231.00000000000003,0.3523732772555766,0.004516123576575249,0.04786189455055927,0.04739393183618261,0.07123989270938114
56,10,0.25,0.1,1.0,0.2,ok,,0.006445487658317095,0.034456227941543474,0.18706306648691065,0.19315163774343025,-0.07377525297621357,0.2,308.00000000000006,0.4505951513716613,0.005660668299869271,0.05973272212849698,0.05870247398169012,0.06886340119238454
105,10,0.3,0.12,1.2,0.05,ok,,0.00508109949600799,0.02703782219652763,0.18792561986225864,0.19050276244683592,-0.04787493919510177,0.05,77.00000000000001,0.3265274512882656,0.007655440003058439,0.07364758118211345,0.08609638453721323,0.15002197330529687
35,10,0.2,0.12,1.2,0.15,ok,,0.007773532247251191,0.04283706760742657,0.18146742252505424,0.19019424208801233,-0.06254016704882981,0.14999999999999994,231.00000000000003,0.4806887537499746,0.006824970938218436,0.07941987591266861,0.07397564592693456,0.07883847467856886
72,10,0.25,0.12,1.2,0.2,ok,,0.0069452692633520385,0.039468165544966405,0.1759714232332191,0.1820819239575823,-0.07869515502043145,0.2,308.00000000000006,0.5075507373479867,0.006779855929452928,0.07207553837808572,0.07265787476525472,0.07596076252355655
55,10,0.25,0.1,1.0,0.15,ok,,0.005619563491187751,0.03204661708142502,0.1753559034611795,0.181513941227778,-0.06149718414640448,0.14999999999999994,231.00000000000003,0.40812085479814175,0.005676079443142135,0.060324840801792054,0.062028199085259306,0.08068087745161634
38,10,0.25,0.08,0.8,0.1,ok,,0.0042753403447768346,0.02454405013025172,0.17419049920808596,0.18018542869197726,-0.04347561362175767,0.1,154.00000000000003,0.30737490093543973,0.004613727300190849,0.04873461239557093,0.05218917277565219,0.0902356442745772
29,10,0.2,0.12,1.0,0.05,ok,,0.0047753011307922755,0.026972820236844136,0.17704122479077455,0.1801760693446095,-0.04201931538867354,0.05000000000000001,77.00000000000001,0.3024033805866116,0.009304204369482339,0.0698253240984736,0.07781851260336235,0.16068102578216525
70,10,0.25,0.12,1.2,0.1,ok,,0.0058701941835159754,0.03352228381898789,0.1751131938150033,0.1801205288291588,-0.0504054470381331,0.1,154.00000000000003,0.40496119531402636,0.00724926442500512,0.07495266370734532,0.08694863380047638,0.11664581628379356
54,10,0.25,0.1,1.0,0.1,ok,,0.00499724432555082,0.02912693873399094,0.17156778373413717,0.17698729658817633,-0.04581346405865916,0.10000000000000002,154.00000000000003,0.3574832769508391,0.005910484960599267,0.06175069620682885,0.06940655037187474,0.10404524676255311
71,10,0.25,0.12,1.2,0.15,ok,,0.0061927565473942625,0.036816119986657785,0.1682077456733226,0.17400287907250792,-0.06465349573917178,0.14999999999999994,231.00000000000003,0.46106256746504304,0.006920590950306706,0.07310236096148956,0.07828361325004372,0.09023621044217
118,10,0.35,0.08,1.2,0.1,ok,,0.005288287014392434,0.03060804822940532,0.17277439498125033,0.17314153103556404,-0.05407911838312107,0.10000000000000002,154.00000000000003,0.3631857214553051,0.0045086910558897915,0.06783168113083696,0.09499358800291932,0.11616269562606973
89,10,0.3,0.1,1.0,0.05,ok,,0.003948081034258477,0.023599222626429443,0.16729707994012094,0.1699309315027412,-0.04115843309749645,0.05000000000000001,77.00000000000001,0.28916414563163056,0.006252741566943826,0.061046664510887715,0.07227326367192181,0.13921210109388515
19,10,0.2,0.1,1.0,0.15,ok,,0.0058879123028723335,0.037167021404990494,0.1584176530778372,0.166085261128491,-0.05494001072625576,0.14999999999999994,231.00000000000006,0.424373410794339,0.005574149415374897,0.06634213561214598,0.057369489696191794,0.07023925185492985
120,10,0.35,0.08,1.2,0.2,ok,,0.005967468703688583,0.037065831551873964,0.16099648797402688,0.16127254196992707,-0.08289865381561823,0.20000000000000004,308.00000000000006,0.46492710542628013,0.00382613980654071,0.06461505658310343,0.056897007964694435,0.04364794422935514
119,10,0.35,0.08,1.2,0.15,ok,,0.0050947436548236524,0.03395536986110454,0.1500423548812413,0.1504936709996778,-0.07045032634384951,0.14999999999999994,231.00000000000006,0.41844098551909253,0.004155665692715258,0.06611085117507456,0.07347662271152591,0.06799774023967331
36,10,0.2,0.12,1.2,0.2,ok,,0.006459978547983525,0.04567040043163603,0.1414478193081197,0.14814902904611413,-0.06963611137865555,0.20000000000000004,308.00000000000006,0.5267437040411411,0.006636070358771541,0.07976094051446843,0.06619979647217965,0.06592539400007658
73,10,0.3,0.08,0.8,0.05,ok,,0.002878344222407847,0.019914206856681962,0.14453722626879587,0.14720777294496848,-0.03504111032063184,0.05000000000000001,77.00000000000001,0.24835438369579602,0.004909162513348108,0.04830692346447588,0.057288129700067476,0.12548488682189207
3,10,0.2,0.08,0.8,0.15,ok,,0.0042634514444253035,0.03127705237465319,0.1363124438120131,0.1424330096536854,-0.05026304541026272,0.14999999999999994,231.00000000000003,0.3649267065275525,0.004408813857039292,0.05331435101994712,0.0424676299908896,0.061601568981055954
76,10,0.3,0.08,0.8,0.2,ok,,0.00382082972018849,0.027771732136964076,0.13757981321960755,0.1402806036381896,-0.06488045110422647,0.2,308.00000000000006,0.3932347572811041,0.004689399735337565,0.04394475256061335,0.04670670544867781,0.05654604230628868
65,10,0.25,0.12,1.0,0.05,ok,,0.003400401521683749,0.024732747677737678,0.1374857968063331,0.13949650926310012,-0.042275538352826936,0.05000000000000001,77.00000000000001,0.2931376890807723,0.006386412118719733,0.06337678922020892,0.07388572702677416,0.14327043621777158
140,10,0.35,0.12,1.0,0.2,ok,,0.004225095888310548,0.032012766604683274,0.13198159160953124,0.13307751242013188,-0.06276810054419169,0.20000000000000004,308.00000000000006,0.4621670989237427,0.005711587504039185,0.052218097233154515,0.0529480016022376,0.050539346435264365
20,10,0.2,0.1,1.0,0.2,ok,,0.005017503882662089,0.0396862020952861,0.12642942931689763,0.13188641282770439,-0.06480354413333023,0.2,308.00000000000006,0.46602805476678766,0.005510117685664925,0.06673917172529698,0.05213091953617853,0.05937332162420894
