ticker,weight
ORCL,0.1609253346765101
AAPL,0.1608605032474771
PANW,0.1215444704279722
GOOGL,0.07866379892615147
TSM,0.07359904316153157
MSFT,0.07000854411895642
DDOG,0.0524994230342899
TEAM,0.032135064030813836
AMD,0.02811222214221213
ASML,0.026345866395341415
AMAT,0.023692727495687987
INTC,0.022716109369893094
META,0.022455696685294152
NOW,0.01894418658847198
AMZN,0.016877921632911852
INTU,0.014473530356568913
SNOW,0.011036957962953932
ZS,0.010097927637999833
MU,0.007417163327595624
MDB,0.007173841754562226
TXN,0.006206123699666579
LRCX,0.0036509792957088623
NVDA,0.002249974509532866
CRWD,0.0020575137748743526
AVGO,0.0019401110921376103
ARM,0.0014539380715548253
NET,0.0009408076649254635
PLTR,0.0007670234403455015
CDNS,1.186643113691909e-15
MCHP,1.131313708369678e-15
PYPL,1.060067537527504e-15
CSCO,1.0554288029195102e-15
KLAC,8.239534518986818e-16
QCOM,7.976579406443114e-16
NXPI,7.41927285512992e-16
MRVL,6.732886208475479e-16
ADBE,6.316200175546712e-16
SNPS,5.58242864399702e-16
CRM,4.711970932365322e-16
ANET,4.464713367643176e-16
PEP,4.287448515488196e-16
ON,3.667783191278422e-16
NFLX,3.231908092354811e-16
UBER,3.1721427682796175e-16
AMGN,2.6169502329628246e-16
FTNT,2.433391535004017e-16
ISRG,1.7922488937718962e-16
ADI,1.6712152426779677e-16
COST,5.015468011303364e-17
GILD,0.0
