ticker,weight
AAPL,0.1498745456905579
ORCL,0.1381507923521578
MSFT,0.07696637783600506
GOOGL,0.06997041671306992
TSM,0.06554388603757727
PANW,0.065198912797164
META,0.022218195090336124
TEAM,0.020813034956757192
NOW,0.019010211285070466
ASML,0.018891277064832814
AMZN,0.016990248737401785
AMD,0.016179438082720335
AMAT,0.01606539128155663
ZS,0.015286594304936747
INTU,0.015274904623839103
TXN,0.010171280455538752
MCHP,0.007591640170361859
MU,0.0072947536267919996
LRCX,0.0068829890163714085
NVDA,0.004883728758605816
CRWD,0.002032658894306702
AVGO,0.0018779528109154546
ARM,0.0014872888733949762
NET,0.0009514259411068282
PLTR,0.0007460782230783322
CSCO,2.4377692078433942e-15
INTC,1.816325910413172e-15
PYPL,1.6670789913475453e-15
CRM,1.477658268458703e-15
CDNS,1.4350497747441592e-15
PEP,8.115430893662413e-16
MRVL,7.870054766666183e-16
SNPS,7.156677316660751e-16
ADI,6.40106363909053e-16
NXPI,4.993374436451908e-16
AMGN,4.515572099776732e-16
ON,3.9078124945268163e-16
KLAC,3.1233099043866367e-16
ADBE,2.3149741840515664e-16
QCOM,4.2082905233018996e-17
FTNT,0.0
UBER,0.0
ISRG,0.0
ANET,0.0
GILD,0.0
COST,0.0
NFLX,0.0
