ticker,weight
ARM,0.1403373615135037
FTNT,0.13753989105140774
ORCL,0.08662951168980412
PYPL,0.05988052745342496
ADBE,0.05278894222169989
ZS,0.049790830639627304
MDB,0.047110161985003306
AMAT,0.04626664008782763
AMZN,0.0359637000576246
NFLX,0.03187370472267366
TEAM,0.02972882120222203
SNPS,0.028734275619351435
UBER,0.02750463291251221
META,0.021360539238011667
TXN,0.01570153330579224
AMGN,0.013540631365085973
NXPI,0.013053325921932292
PANW,0.011344237640043874
ASML,0.010077212699936632
ON,0.00992842536841914
AMD,0.009521099257879601
NOW,0.009398882758644929
CRM,0.008950276180013777
ADI,0.008838771478088543
CDNS,0.008242415953718746
GILD,0.00816882793126013
SNOW,0.006928518283947131
INTC,0.0057274703053582605
ANET,0.005280729806891529
DDOG,0.005003520314866769
MCHP,0.004841553602004922
NVDA,0.004717300743356141
MRVL,0.004249497714615662
INTU,0.004245926497902605
TSM,0.0042320786005728426
GOOGL,0.003868234877578373
COST,0.0036698958925638625
KLAC,0.0036239376135486397
CRWD,0.0035827327969759682
QCOM,0.0032079689820310236
ISRG,0.003196658626595959
NET,0.003027019083750526
PLTR,0.0029949587569439978
LRCX,0.001604921944861854
MU,0.0014952283072425334
MSFT,0.0011216547265058513
AVGO,0.00048491358026379894
AAPL,0.00029305691993359044
PEP,0.00022751150369723064
CSCO,9.953026248075504e-05
