ticker,weight
AAPL,0.14084090092274545
ORCL,0.1262584109212623
PANW,0.08401479396856726
TSM,0.07146486140773613
GOOGL,0.06930136549387833
MSFT,0.06916769695050592
DDOG,0.04795207412358456
META,0.023388685749828605
NOW,0.020751654806556476
MCHP,0.018761625791614868
AMZN,0.017270578317922943
TEAM,0.016566361212100224
TXN,0.014245600017895654
LRCX,0.013595596758531323
SNOW,0.013381363892913065
ZS,0.011915588509109976
ON,0.008425543578875514
MDB,0.007988579626512258
AMAT,0.007930474161852094
MU,0.007396692629207678
ASML,0.006788971037429536
CRWD,0.0022611092042047016
ADI,0.0021996311903612845
NVDA,0.0021939463274201453
AVGO,0.0019086823588150986
ARM,0.0015338281744106995
NET,0.0010362774483387814
GILD,0.000925061531663234
PLTR,0.0008065473256813405
CDNS,9.395619180708137e-16
ISRG,4.706603410632389e-16
KLAC,4.559758535337016e-16
SNPS,4.189955057479056e-16
CSCO,4.128391141491897e-16
CRM,3.2955899477281374e-16
PYPL,1.7351902307094273e-16
PEP,1.6951835487411293e-16
NFLX,1.4380185107110775e-16
UBER,1.4139131333743504e-16
MRVL,1.2689326892338931e-16
INTU,1.1438899300225589e-16
INTC,8.31435103993371e-17
QCOM,6.681836804965726e-17
FTNT,5.141480403941608e-17
COST,4.8076725605650217e-17
ANET,4.654249038312887e-17
AMD,0.0
AMGN,0.0
ADBE,0.0
NXPI,0.0
