ticker,weight
AAPL,0.12500402548338144
MSFT,0.09095066181146089
PANW,0.08413546618793946
ORCL,0.08366810218153294
DDOG,0.05781315240616665
LRCX,0.04178182131610209
SNOW,0.035800609976172494
GOOGL,0.034786560147664576
TSM,0.03165491091242581
TEAM,0.02744657358815613
ZS,0.027277315147047176
NFLX,0.023287068608906773
TXN,0.02109313665101746
META,0.01854292132654858
AMAT,0.013916453472946717
NOW,0.011383107226548454
AMZN,0.008868717589104066
MCHP,0.006886134772369708
MU,0.003902782514944746
MDB,0.0030737474059705757
NVDA,0.0008628925212421149
ON,0.0007366709149202689
ARM,0.0005881079995035888
MRVL,2.8375780798645335e-15
CSCO,2.774673780749545e-15
PLTR,2.631771544135482e-15
SNPS,2.401469309751694e-15
PYPL,2.4005372854324483e-15
AVGO,2.2892715962911045e-15
KLAC,2.2003110992050884e-15
CDNS,1.9425008291561545e-15
NET,1.6592653613996336e-15
UBER,1.6325836765461572e-15
AMD,1.4022973254906411e-15
ANET,1.2915637925931634e-15
COST,1.2226603123952233e-15
ASML,8.84100626548144e-16
PEP,7.716027680382756e-16
ADI,7.692788798737323e-16
QCOM,7.277582456025119e-16
GILD,6.66860863603335e-16
CRWD,6.117798199589858e-16
INTC,5.936332636192894e-16
ADBE,4.0808321983904203e-16
AMGN,4.002406599227387e-16
NXPI,3.5832590665323147e-16
ISRG,2.3605914739416996e-16
FTNT,1.7623681885196945e-16
CRM,1.5101071609350558e-16
INTU,1.0779272895094277e-17
