ticker,weight
NVDA,0.09519947748027924
GOOGL,0.06698608142217463
ORCL,0.0433753815349994
TEAM,0.04220623127618161
KLAC,0.04189452065786088
INTU,0.04029309779003217
INTC,0.039429428170287384
LRCX,0.032642912806817165
MU,0.031520774887600814
NFLX,0.030816439057235055
FTNT,0.027894556364601295
TSM,0.024085657586084892
META,0.014042356454581514
MCHP,0.009956040513003594
AMGN,0.009498171049857852
MSFT,0.007645167769138747
AVGO,0.006425282045139265
CSCO,0.005722982223895922
ADI,0.004076575788363622
AMZN,0.002071422112777759
PYPL,0.0020700054309985153
TXN,0.0020474931205914336
PEP,0.002009039997684373
COST,0.0019126507281676522
ZS,0.0018454439425105748
QCOM,0.0017994666240889745
NXPI,0.001771053515756526
MRVL,0.0016833133600490044
ANET,0.001503817217260551
AAPL,0.0014516332290824365
NOW,0.0012363108129391075
AMD,0.001133194880535446
CRM,0.0010188823102877471
ARM,0.0009903354429181607
DDOG,0.0008136995014369286
SNPS,0.0005421866972196325
PANW,0.00036166197220553894
PLTR,1.6575628238608867e-05
MDB,5.9551334408885445e-06
ON,2.0566991870650444e-06
NET,1.0969546131076416e-06
CRWD,7.646535859446185e-07
ADBE,5.759238793010058e-07
CDNS,1.2298476330362142e-07
ISRG,8.88725389956981e-08
GILD,9.515786564934658e-09
SNOW,7.85931662653035e-09
ASML,3.415517448547388e-15
AMAT,5.73019756717652e-16
UBER,1.517891508512803e-16
