ticker,weight
GOOGL,0.1299637838132699
PANW,0.1290727419594151
ORCL,0.11219287037803523
AAPL,0.10779924853088002
TSM,0.0838952324303277
MSFT,0.06731117289801719
NOW,0.035506286086457985
MU,0.03339550289404889
DDOG,0.029973180845678345
META,0.029305939019874442
ARM,0.028025529367967456
NVDA,0.02603265193371328
ZS,0.02581569204402965
AMZN,0.02283804562839506
LRCX,0.020619138399009824
ASML,0.017417138891232236
AMAT,0.01611403871295672
COST,0.011933682359099754
INTC,0.01051495980841976
MDB,0.010125307227483239
TEAM,0.008792093822617076
NET,0.0073975335832872245
CRWD,0.004206959438177752
SNOW,0.003940861381504152
AVGO,0.0022584455081521024
PLTR,0.0009992922757854944
NXPI,5.713629741360931e-16
ADBE,5.505792612824079e-16
KLAC,4.797157601468276e-16
GILD,3.7783810288075007e-16
INTU,2.960416755975801e-16
PEP,2.541015687191592e-16
ISRG,9.234222559823911e-18
NFLX,7.596915709725056e-18
CDNS,1.3240365359700213e-18
PYPL,0.0
ADI,0.0
SNPS,0.0
TXN,0.0
QCOM,0.0
UBER,0.0
CRM,0.0
AMD,0.0
ON,0.0
AMGN,0.0
ANET,0.0
MRVL,0.0
FTNT,0.0
CSCO,0.0
MCHP,0.0
