horizon_days,rebalance_every_n_days,n_rebalances,oos_cs_ic_mean,oos_cs_ic_ir,oos_top_bottom_mean,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid,elapsed_seconds
5,5,444,0.018830461499172235,0.06821019470533303,0.00048330584728289007,0.30303460137278715,0.26210108298738205,1.1561745488376165,-0.37806488602470345,0.007387797370437088,22.961274227318466,51.58
10,10,220,0.002689655054554897,0.009858546375315674,-0.0007936521298677985,0.29774500304435825,0.2631655812959168,1.1313979646508507,-0.38063478755163616,0.0146227490908017,22.519033599834618,26.53
20,20,109,-0.06650084501260273,-0.23553764669879038,-0.016395348400015268,0.29789491076684316,0.2634922949877521,1.1305640295124766,-0.37949712455981344,0.028776715828926165,21.956634177470658,14.41
