run_id,score,threshold,bad_state_multiplier,lookback_rebalances,min_history_rebalances,annualized_return,sharpe_ratio,max_drawdown,signal_gate_active_rate
19,3.4313880414818296,0.0,0.6,20,6,0.43354901355626074,1.3630761107608254,-0.36431340064189066,0.0958904109589041
20,3.4313880414818296,0.0,0.6,20,8,0.43354901355626074,1.3630761107608254,-0.36431340064189066,0.0958904109589041
39,3.4066828162838334,0.005,0.6,20,6,0.42685264124379296,1.3553675171974493,-0.36432978037828356,0.11643835616438356
40,3.4066828162838334,0.005,0.6,20,8,0.42685264124379296,1.3553675171974493,-0.36432978037828356,0.11643835616438356
15,3.386056240677261,0.0,0.45,20,6,0.4224323344134584,1.3483081904847007,-0.36431659768904956,0.0958904109589041
16,3.386056240677261,0.0,0.45,20,8,0.4224323344134584,1.3483081904847007,-0.36431659768904956,0.0958904109589041
57,3.379725673102877,0.01,0.6,12,6,0.3990169103963004,1.3358960176338353,-0.34341906550252665,0.2191780821917808
58,3.379725673102877,0.01,0.6,12,8,0.3990169103963004,1.3358960176338353,-0.34341906550252665,0.2191780821917808
59,3.366004534167848,0.01,0.6,20,6,0.4177517713714425,1.3409209293175663,-0.36431993920924843,0.136986301369863
60,3.366004534167848,0.01,0.6,20,8,0.4177517713714425,1.3409209293175663,-0.36431993920924843,0.136986301369863
11,3.361447538061145,0.0,0.35,20,6,0.415995283410026,1.3404779924608616,-0.36432115735177373,0.0958904109589041
12,3.361447538061145,0.0,0.35,20,8,0.415995283410026,1.3404779924608616,-0.36432115735177373,0.0958904109589041
77,3.3529218264467993,0.015,0.6,12,6,0.38926470909664435,1.327636198260651,-0.3387642749217551,0.273972602739726
78,3.3529218264467993,0.015,0.6,12,8,0.38926470909664435,1.327636198260651,-0.3387642749217551,0.273972602739726
7,3.3507145992674703,0.0,0.3,20,6,0.41300717075832005,1.3371494599167308,-0.36432314925445963,0.0958904109589041
8,3.3507145992674703,0.0,0.3,20,8,0.41300717075832005,1.3371494599167308,-0.36432314925445963,0.0958904109589041
35,3.345474181889699,0.005,0.45,20,6,0.4131805283688945,1.3342188231514787,-0.3643538687593537,0.11643835616438356
36,3.345474181889699,0.005,0.45,20,8,0.4131805283688945,1.3342188231514787,-0.3643538687593537,0.11643835616438356
37,3.3316995015459954,0.005,0.6,12,6,0.3989269126109296,1.3167702444810923,-0.35021310822762,0.18493150684931506
38,3.3316995015459954,0.005,0.6,12,8,0.3989269126109296,1.3167702444810923,-0.35021310822762,0.18493150684931506
17,3.326266853685315,0.0,0.6,12,6,0.41152812070472033,1.3161258195913037,-0.3643513167341784,0.14383561643835616
18,3.326266853685315,0.0,0.6,12,8,0.41152812070472033,1.3161258195913037,-0.3643513167341784,0.14383561643835616
3,3.3209317994086778,0.0,0.2,20,6,0.4064769596600246,1.326825980187357,-0.3643149062957999,0.0958904109589041
4,3.3209317994086778,0.0,0.2,20,8,0.4064769596600246,1.326825980187357,-0.3643149062957999,0.0958904109589041
97,3.3150899548939394,0.02,0.6,12,6,0.37303722780286064,1.314113954751005,-0.33613831773398306,0.3082191780821918
98,3.3150899548939394,0.02,0.6,12,8,0.37303722780286064,1.314113954751005,-0.33613831773398306,0.3082191780821918
31,3.306014239399188,0.005,0.35,20,6,0.40486779794603045,1.3202635557196793,-0.36436950766075604,0.11643835616438356
32,3.306014239399188,0.005,0.35,20,8,0.40486779794603045,1.3202635557196793,-0.36436950766075604,0.11643835616438356
55,3.285522096198588,0.01,0.45,20,6,0.4004499028805679,1.3126938568420454,-0.36433575082697733,0.136986301369863
56,3.285522096198588,0.01,0.45,20,8,0.4004499028805679,1.3126938568420454,-0.36433575082697733,0.136986301369863
27,3.2799594253486166,0.005,0.3,20,6,0.40030071435377024,1.3106140490404936,-0.3643581895047222,0.11643835616438356
28,3.2799594253486166,0.005,0.3,20,8,0.40030071435377024,1.3106140490404936,-0.3643581895047222,0.11643835616438356
53,3.261107709080126,0.01,0.45,12,6,0.3701755166746523,1.2898037037816712,-0.3371299408210755,0.2191780821917808
54,3.261107709080126,0.01,0.45,12,8,0.3701755166746523,1.2898037037816712,-0.3371299408210755,0.2191780821917808
99,3.2475236308608473,0.02,0.6,20,6,0.38380627513634313,1.2985305083835537,-0.36429133541196146,0.2191780821917808
