run_id,score,rebalance_days,weight_max,turnover_cap,risk_aversion_lambda,overlay_enabled,annualized_return,sharpe_ratio,max_drawdown
65,3.361447538061145,10,0.2,0.3,15.0,False,0.415995283410026,1.3404779924608616,-0.36432115735177373
137,3.361447538061145,15,0.2,0.3,15.0,False,0.415995283410026,1.3404779924608616,-0.36432115735177373
209,3.361447538061145,20,0.2,0.3,15.0,False,0.415995283410026,1.3404779924608616,-0.36432115735177373
59,3.3557765577677,10,0.2,0.25,15.0,False,0.408947593621374,1.336800972423108,-0.36169820066313974
131,3.3557765577677,15,0.2,0.25,15.0,False,0.408947593621374,1.336800972423108,-0.36169820066313974
203,3.3557765577677,20,0.2,0.25,15.0,False,0.408947593621374,1.336800972423108,-0.36169820066313974
57,3.3151162337923346,10,0.2,0.25,10.0,False,0.40968038432350995,1.3209840842064027,-0.36646536653672834
129,3.3151162337923346,15,0.2,0.25,10.0,False,0.40968038432350995,1.3209840842064027,-0.36646536653672834
201,3.3151162337923346,20,0.2,0.25,10.0,False,0.40968038432350995,1.3209840842064027,-0.36646536653672834
63,3.3146203844072613,10,0.2,0.3,10.0,False,0.41613343607709763,1.3224416291172996,-0.3695536422149579
135,3.3146203844072613,15,0.2,0.3,10.0,False,0.41613343607709763,1.3224416291172996,-0.3695536422149579
207,3.3146203844072613,20,0.2,0.3,10.0,False,0.41613343607709763,1.3224416291172996,-0.3695536422149579
71,3.3112774409287438,10,0.2,0.35,15.0,False,0.41592850906166356,1.3235649305465669,-0.3725437045343646
143,3.3112774409287438,15,0.2,0.35,15.0,False,0.41592850906166356,1.3235649305465669,-0.3725437045343646
215,3.3112774409287438,20,0.2,0.35,15.0,False,0.41592850906166356,1.3235649305465669,-0.3725437045343646
55,3.270255244997605,10,0.2,0.25,5.0,False,0.40984431004146926,1.3037066802119277,-0.371750589141135
127,3.270255244997605,15,0.2,0.25,5.0,False,0.40984431004146926,1.3037066802119277,-0.371750589141135
199,3.270255244997605,20,0.2,0.25,5.0,False,0.40984431004146926,1.3037066802119277,-0.371750589141135
61,3.263284176154687,10,0.2,0.3,5.0,False,0.41548665386504946,1.302584570150426,-0.3748615305691744
133,3.263284176154687,15,0.2,0.3,5.0,False,0.41548665386504946,1.302584570150426,-0.3748615305691744
205,3.263284176154687,20,0.2,0.3,5.0,False,0.41548665386504946,1.302584570150426,-0.3748615305691744
69,3.262411806462336,10,0.2,0.35,10.0,False,0.41577200267108205,1.3046268781251975,-0.37766207872360313
141,3.262411806462336,15,0.2,0.35,10.0,False,0.41577200267108205,1.3046268781251975,-0.37766207872360313
213,3.262411806462336,20,0.2,0.35,10.0,False,0.41577200267108205,1.3046268781251975,-0.37766207872360313
53,3.2360292775307355,10,0.2,0.2,15.0,False,0.3884329853443991,1.2894786099460016,-0.36585378262276824
125,3.2360292775307355,15,0.2,0.2,15.0,False,0.3884329853443991,1.2894786099460016,-0.36585378262276824
197,3.2360292775307355,20,0.2,0.2,15.0,False,0.3884329853443991,1.2894786099460016,-0.36585378262276824
54,3.2272034092011834,10,0.2,0.2,15.0,True,0.26268690021780094,1.2688312997063773,-0.24484817632787503
126,3.2272034092011834,15,0.2,0.2,15.0,True,0.26268690021780094,1.2688312997063773,-0.24484817632787503
198,3.2272034092011834,20,0.2,0.2,15.0,True,0.26268690021780094,1.2688312997063773,-0.24484817632787503
60,3.220409258540321,10,0.2,0.25,15.0,True,0.2620322735162768,1.2676494882076428,-0.24807714169421902
132,3.220409258540321,15,0.2,0.25,15.0,True,0.2620322735162768,1.2676494882076428,-0.24807714169421902
204,3.220409258540321,20,0.2,0.25,15.0,True,0.2620322735162768,1.2676494882076428,-0.24807714169421902
67,3.2112134425097905,10,0.2,0.35,5.0,False,0.41514300071078303,1.2848599165841297,-0.3831529714134323
139,3.2112134425097905,15,0.2,0.35,5.0,False,0.41514300071078303,1.2848599165841297,-0.3831529714134323
211,3.2112134425097905,20,0.2,0.35,5.0,False,0.41514300071078303,1.2848599165841297,-0.3831529714134323
52,3.2097632683950676,10,0.2,0.2,10.0,True,0.26267572304869,1.2623317296349963,-0.2473311791907553
124,3.2097632683950676,15,0.2,0.2,10.0,True,0.26267572304869,1.2623317296349963,-0.2473311791907553
196,3.2097632683950676,20,0.2,0.2,10.0,True,0.26267572304869,1.2623317296349963,-0.2473311791907553
51,3.202923293669226,10,0.2,0.2,10.0,False,0.38965681592092904,1.2767452622573452,-0.370464000692986
123,3.202923293669226,15,0.2,0.2,10.0,False,0.38965681592092904,1.2767452622573452,-0.370464000692986
195,3.202923293669226,20,0.2,0.2,10.0,False,0.38965681592092904,1.2767452622573452,-0.370464000692986
50,3.1969138510787714,10,0.2,0.2,5.0,True,0.26251636013300184,1.2578260226124125,-0.24974250727051617
122,3.1969138510787714,15,0.2,0.2,5.0,True,0.26251636013300184,1.2578260226124125,-0.24974250727051617
194,3.1969138510787714,20,0.2,0.2,5.0,True,0.26251636013300184,1.2578260226124125,-0.24974250727051617
58,3.1968232914604373,10,0.2,0.25,10.0,True,0.2616441829776617,1.2586619622927697,-0.250629743107578
130,3.1968232914604373,15,0.2,0.25,10.0,True,0.2616441829776617,1.2586619622927697,-0.250629743107578
202,3.1968232914604373,20,0.2,0.25,10.0,True,0.2616441829776617,1.2586619622927697,-0.250629743107578
56,3.18169473228099,10,0.2,0.25,5.0,True,0.26175064823653904,1.253553863853498,-0.2533893998221153
128,3.18169473228099,15,0.2,0.25,5.0,True,0.26175064823653904,1.253553863853498,-0.2533893998221153
200,3.18169473228099,20,0.2,0.25,5.0,True,0.26175064823653904,1.253553863853498,-0.2533893998221153
49,3.1658084808526805,10,0.2,0.2,5.0,False,0.39032407951270764,1.262469501073215,-0.3753462196086086
121,3.1658084808526805,15,0.2,0.2,5.0,False,0.39032407951270764,1.262469501073215,-0.3753462196086086
193,3.1658084808526805,20,0.2,0.2,5.0,False,0.39032407951270764,1.262469501073215,-0.3753462196086086
66,3.1355828386319775,10,0.2,0.3,15.0,True,0.25600342056969594,1.2366934435950006,-0.2562804730291227
138,3.1355828386319775,15,0.2,0.3,15.0,True,0.25600342056969594,1.2366934435950006,-0.2562804730291227
210,3.1355828386319775,20,0.2,0.3,15.0,True,0.25600342056969594,1.2366934435950006,-0.2562804730291227
64,3.1194135435523975,10,0.2,0.3,10.0,True,0.2562543869033065,1.2313379616022555,-0.2592810132319927
136,3.1194135435523975,15,0.2,0.3,10.0,True,0.2562543869033065,1.2313379616022555,-0.2592810132319927
208,3.1194135435523975,20,0.2,0.3,10.0,True,0.2562543869033065,1.2313379616022555,-0.2592810132319927
35,3.1054736060314987,10,0.15,0.25,15.0,False,0.3730345255928351,1.2383842985851372,-0.3707007220740407
107,3.1054736060314987,15,0.15,0.25,15.0,False,0.3730345255928351,1.2383842985851372,-0.3707007220740407
179,3.1054736060314987,20,0.15,0.25,15.0,False,0.3730345255928351,1.2383842985851372,-0.3707007220740407
62,3.0990309254874484,10,0.2,0.3,5.0,True,0.2561137733257388,1.2238102295207187,-0.2614372837524762
134,3.0990309254874484,15,0.2,0.3,5.0,True,0.2561137733257388,1.2238102295207187,-0.2614372837524762
206,3.0990309254874484,20,0.2,0.3,5.0,True,0.2561137733257388,1.2238102295207187,-0.2614372837524762
