run_id,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,annualized_return,sharpe_ratio,max_drawdown,oos_cs_ic_mean,oos_top_bottom_mean
1,3.3151162337923346,500,4,0.03,0.75,0.75,0.40968038432350995,1.3209840842064027,-0.36646536653672834,0.040734301401086054,0.011379538457149055
4,3.3104920494161694,500,3,0.02,0.85,0.85,0.42961400983186904,1.2643097274915511,-0.3904193562720055,0.05111789341536423,0.014273761568110931
2,3.2439819449380822,700,4,0.02,0.75,0.75,0.4111315890668952,1.3163017075951566,-0.3591459802427023,0.03614811021295538,0.008484547215446578
5,3.054739261144713,600,4,0.025,0.7,0.7,0.39014372966514776,1.2601250867823504,-0.37534387298460337,0.03467118024857155,0.005653799753952259
6,2.872367993532059,350,5,0.03,0.75,0.75,0.3127044752673078,1.1721878571165236,-0.35312133984470384,0.03554515617007471,0.011015729948239366
3,2.6763714815679354,400,3,0.03,0.8,0.8,0.35457292940933804,1.1093676194084081,-0.40572336710835755,0.032348704907741485,0.008171562754352933
