horizon_days,holding_days,n_rebalances,target_column,oos_cs_ic_mean,oos_cs_ic_ir,oos_top_bottom_mean,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid
3,3,743,fwd_return_3d_resid,0.02719472840348557,0.0977121302769224,0.0025254868354088107,0.011902079025656764,0.055101889121349196,0.21600128807644292,0.2177289648232083,-0.09709632754241415,0.34623568319077336,1800.7717882752115
5,5,444,fwd_return_5d_resid,0.022611423397995763,0.0834695520338107,0.002519319408045193,0.006641017054882292,0.049217748474748586,0.1349313461238378,0.13568749440895866,-0.09123709872273333,0.34980256446981517,1087.1863703721851
7,7,317,fwd_return_7d_resid,0.0268561071861353,0.09677353328335846,0.0030841853849194966,0.014924076063740577,0.04345386444466264,0.34344646338062745,0.3547469663845529,-0.06761707708824394,0.35000000000000003,776.6499999999999
10,10,220,fwd_return_10d_resid,0.03710406462685773,0.14303517195445636,0.004419790778037222,-0.001111861499185407,0.042586174684790964,-0.02610850839304175,-0.026814155700128725,-0.10350942953806852,0.34975604884089856,538.6243152149837
15,15,146,fwd_return_15d_resid,0.0416576416824522,0.15929213882907867,0.00738282268148395,0.009859455312253518,0.04127334251438642,0.23888192018412036,0.24496254487691924,-0.05657505075305136,0.35000000000000003,357.69999999999993
20,20,109,fwd_return_20d_resid,0.046926073778806324,0.2025200768699529,0.002874297487232088,0.004677556343610334,0.0404151456687194,0.11573770838170402,0.12069781003274846,-0.0999652488161914,0.35000000000000003,267.0499999999999
