run_id,phase,status,error,data_config_source,requested_universe_size,realized_clean_tickers,realized_panel_tickers,horizon_days,rebalance_every_n_days,allocation_method,weight_max,turnover_cap,oos_cs_ic_mean,oos_cs_ic_ir,oos_top_bottom_mean,n_rebalances_train,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid
1,baseline,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,5,score_over_vol,0.2,0.2,0.03273075534893049,0.12541862468943735,0.006290089384917412,438,0.0008191350763333549,0.03800100733519751,0.02155561480536467,0.022026641518372213,-0.09170991516844917,0.2,613.2
2,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.12,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.22373101464547118,0.1959638112429601,1.1416955672906601,1.1958281639480706,-0.34207107339179743,0.25,255.5
3,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.12,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.23803339053604455,0.2143375807104665,1.110553687071737,1.168342207625817,-0.3785173385638989,0.35000000000000003,357.69999999999993
4,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.15,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.23918296788392013,0.20293670239066877,1.1786087241305148,1.2297955668918206,-0.32722066152164986,0.25,255.5
5,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.15,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.24598653787748193,0.21484253130284295,1.1449620165326495,1.200457521101142,-0.35127848490583324,0.35000000000000003,357.69999999999993
6,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.2,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.23775293256700936,0.22339596488955688,1.064266906900267,1.1395152623210774,-0.3244616851462083,0.25,255.5
7,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,score_over_vol,0.2,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.242719407123134,0.230388954765561,1.0535201540808248,1.1296702170724995,-0.34832978362748235,0.35000000000000003,357.69999999999993
8,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.12,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.26637490622386295,0.2631188305581312,1.0123749245115787,1.0839910441716945,-0.3511590880738934,0.24333805181296467,248.69148895284985
9,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.12,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.2580296048452788,0.2646795917661599,0.9748753318058755,1.0442504612313313,-0.3587170155362709,0.33705473777964534,344.46994201079747
10,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.15,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.27720540787197123,0.2748748609198731,1.0084785743748952,1.0759976168278433,-0.36409353500535213,0.24261024765087869,247.94767309919797
11,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.15,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.2675065226894662,0.2764001737682492,0.9678232797124071,1.0332775352024557,-0.37314827308411114,0.33729959306997515,344.72018411751446
12,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.2,0.25,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.2884179438843042,0.2895522510394295,0.9960825476194594,1.0619492085485571,-0.37237325310688707,0.24294047898786486,248.2851695255979
13,candidate,ok,,/Users/jenriquezafra/Proyectos/Dev/python/portfolio/configs/config_data.core25.yaml,25,25,25,15,15,mean_variance,0.2,0.35,0.04149556105805303,0.15815549837919224,0.007663666475449499,146,0.2735537612474499,0.29080342860360087,0.9406827235876084,1.0028355603960801,-0.38986958553403805,0.33660826669139776,344.0136485586084
