summary_path,timestamp_utc,rebalance_date,broker,mode,apply,portfolio_mode,n_orders,portfolio_turnover_estimate,account_equity_pre,account_cash_pre,pre_cash_fraction,min_cash_buffer,investable_target_fraction,target_under_investment_fraction,weights_source,orders_rows,planned_buy_notional,planned_sell_notional,planned_net_notional,estimated_cash_after_orders,estimated_cash_after_fraction,weights_stats_source,target_weight_gross,target_weight_net,target_weight_max,target_weight_min,target_positions_count,run_all_signal_gate_multiplier,run_all_signal_gate_enabled,run_all_turnover_cap_applied,run_all_used_existing_positions
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150348_summary.json,2026-02-22T15:03:48Z,2026-02-09,paper,paper,False,,22,0.9999999999999999,100000.0,100000.0,1.0,0.02,0.98,,,22,96398.27505493164,0.0,96398.27505493164,3601.7249450683594,0.036017249450683596,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150412_summary.json,2026-02-22T15:04:12Z,2026-02-09,paper,paper,False,,22,0.9999999999999999,100000.0,100000.0,1.0,0.02,0.98,,,22,96398.27505493164,0.0,96398.27505493164,3601.7249450683594,0.036017249450683596,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150418_summary.json,2026-02-22T15:04:18Z,2026-02-09,paper,paper,True,,22,0.9999999999999999,100000.0,100000.0,1.0,0.02,0.98,,,22,96398.27505493164,0.0,96398.27505493164,3601.7249450683594,0.036017249450683596,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150423_summary.json,2026-02-22T15:04:23Z,2026-02-09,paper,paper,False,,8,0.041488926384645686,100000.0,3601.7249450683594,0.036017249450683596,0.02,0.98,,,8,0.0,2609.5381393432617,-2609.5381393432617,6211.263084411621,0.06211263084411621,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150518_summary.json,2026-02-22T15:05:18Z,2026-02-09,paper,paper,False,,8,0.041488926384645686,100000.0,3601.7249450683594,0.036017249450683596,0.02,0.98,,,8,0.0,2609.5381393432617,-2609.5381393432617,6211.263084411621,0.06211263084411621,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_150528_summary.json,2026-02-22T15:05:28Z,2026-02-09,paper,paper,False,,14,0.35,100000.0,100000.0,1.0,0.02,0.98,,,14,31918.904983520508,0.0,31918.904983520508,68081.09501647949,0.6808109501647949,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-09_20260222_151145_summary.json,2026-02-22T15:11:45Z,2026-02-09,paper,paper,False,,8,0.041488926384645686,100000.0,3601.7249450683594,0.036017249450683596,0.02,0.98,,,8,0.0,2609.5381393432617,-2609.5381393432617,6211.263084411621,0.06211263084411621,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-01-09_20260222_190429_summary.json,2026-02-22T19:04:29Z,2026-01-09,paper,paper,False,market_neutral,24,0.10000000000000006,106696.55735778809,3601.7249450683594,0.03375671187769077,0.02,0.98,,,24,259.94000244140625,12603.665618896484,-12343.725616455078,15945.450561523438,0.14944672027283112,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-01-09_20260222_192006_summary.json,2026-02-22T19:20:06Z,2026-01-09,paper,paper,False,market_neutral,30,0.25,106696.55735778809,3601.7249450683594,0.03375671187769077,0.02,0.98,,,30,2869.860076904297,24527.609649658203,-21657.749572753906,25259.474517822266,0.23674123273836356,,,,,,,,,,
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-23_20260223_230108_summary.json,2026-02-23T23:01:08Z,2026-02-23,paper,paper,False,long_only,26,0.35000000000000003,94113.31410217285,3601.7249450683594,0.038270089406884505,0.02,0.98,0.0011531954780473752,run_all,26,15049.639904022217,17879.979904174805,-2830.3400001525883,6432.064945220947,0.06834383643357902,weights_csv,0.9788468045219526,0.9788468045219526,0.1609253346765101,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-23_20260223_231450_summary.json,2026-02-23T23:14:50Z,2026-02-23,paper,paper,False,long_only,26,0.35000000000000003,94113.31410217285,3601.7249450683594,0.038270089406884505,0.02,0.98,0.0011531954780473752,run_all,26,15049.639904022217,17879.979904174805,-2830.3400001525883,6432.064945220947,0.06834383643357902,weights_csv,0.9788468045219526,0.9788468045219526,0.1609253346765101,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-26_20260301_172853_summary.json,2026-03-01T17:28:53Z,2026-02-26,paper,paper,False,long_only,26,0.2541635266630351,97605.57518005371,3601.7249450683594,0.036900811643435644,0.02,0.98,0.1697274965604718,run_all,26,11139.780136108398,13791.570022583008,-2651.7898864746094,6253.514831542969,0.06406923805332908,weights_csv,0.8102725034395282,0.8102725034395282,0.1408409009227454,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-26_20260301_182319_summary.json,2026-03-01T18:23:19Z,2026-02-26,paper,paper,False,long_only,26,0.2541635266630351,97605.57518005371,3601.7249450683594,0.036900811643435644,0.02,0.98,0.1697274965604718,run_all,26,11139.780136108398,13791.570022583008,-2651.7898864746094,6253.514831542969,0.06406923805332908,weights_csv,0.8102725034395282,0.8102725034395282,0.1408409009227454,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-26_20260301_183402_summary.json,2026-03-01T18:34:02Z,2026-02-26,ibkr,paper,False,long_only,0,0.3499999999999999,0.0,0.0,,0.02,0.98,0.1697274965604718,run_all,0,,,,,,weights_csv,0.8102725034395282,0.8102725034395282,0.1408409009227454,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-26_20260301_192029_summary.json,2026-03-01T19:20:29Z,2026-02-26,paper,paper,False,long_only,26,0.2541635266630351,97605.57518005371,3601.7249450683594,0.036900811643435644,0.02,0.98,0.1697274965604718,run_all,26,11139.780136108398,13791.570022583008,-2651.7898864746094,6253.514831542969,0.06406923805332908,weights_csv,0.8102725034395282,0.8102725034395282,0.1408409009227454,0.0,50.0,0.6,True,True,True
/Users/jenriquezafra/Proyectos/Dev/python/portfolio/outputs/execution/rebalance_2026-02-26_20260301_225759_summary.json,2026-03-01T22:57:59Z,2026-02-26,paper,paper,False,long_only,26,0.2541635266630351,97605.57518005371,3601.7249450683594,0.036900811643435644,0.02,0.98,0.1697274965604718,run_all,26,11139.780136108398,13791.570022583008,-2651.7898864746094,6253.514831542969,0.06406923805332908,weights_csv,0.8102725034395282,0.8102725034395282,0.1408409009227454,0.0,50.0,0.6,True,True,True
