run_id,horizon_days,long_short_quantile,weight_max,gross_exposure_target,turnover_cap,status,error,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,total_cost_bps_paid,average_gross_exposure,average_net_exposure,ex_ante_factor_exposure_l1,ex_post_factor_beta_l1,ex_post_factor_r2
42,7,0.25,0.1,1.0,0.2,ok,,0.025196913431079437,0.03532576820820199,0.7132729083929498,0.7384038462418925,-0.05246964295484147,0.19999999999999998,443.80000000000007,0.46569154575155136,0.02098128076023012,0.09178808238111241,0.07775920315039125,0.11935894278588866
41,7,0.25,0.1,1.0,0.15,ok,,0.023738716503351354,0.03346068495785709,0.7094510029681007,0.7324618252634507,-0.055184399391370764,0.15,332.85,0.42199719954915116,0.021975299570618934,0.09492022883027712,0.07886298089764328,0.1394398310421906
40,7,0.25,0.1,1.0,0.1,ok,,0.02157782389652252,0.031512808813165934,0.6847318506088669,0.7022011995857358,-0.054978063005081346,0.09999999999999999,221.90000000000003,0.3700854772681409,0.023352243251121344,0.09897833162088768,0.08247944373967875,0.17146443657074673
47,7,0.25,0.12,1.0,0.15,ok,,0.022041913278193048,0.033044155665071726,0.6670442271730294,0.685201495327146,-0.053089470676319306,0.15,332.85,0.4284255204406135,0.02211646408814461,0.08913262022759913,0.07239259665663285,0.12383134087271697
48,7,0.25,0.12,1.0,0.2,ok,,0.023023119950232873,0.03500536522927275,0.6577026064273173,0.6764630235521,-0.050833050850081385,0.19999999999999998,443.80000000000007,0.4724807514999897,0.021200290685601465,0.08604253486746978,0.07146450647869278,0.10486623923441674
46,7,0.25,0.12,1.0,0.1,ok,,0.020400281733677028,0.030987839549865785,0.6583318498486735,0.6728432098697593,-0.05311935848388205,0.09999999999999999,221.90000000000006,0.3756494769978207,0.023500164756920454,0.0935861666585219,0.07654962521053411,0.1556545577827133
37,7,0.25,0.1,0.8,0.1,ok,,0.015066773503221498,0.024110928674903182,0.6248939518826725,0.6427530445338108,-0.026621650152481302,0.09999999999999999,221.90000000000006,0.32971887374743375,0.0068241491545627565,0.05739581407090609,0.05131700417315535,0.10466022801165042
38,7,0.25,0.1,0.8,0.15,ok,,0.016281880833896478,0.026413520454321555,0.6164222168738804,0.636667640752038,-0.030279450045473832,0.15,332.85,0.377319792220756,0.006472082329949034,0.05459466886793458,0.050743583122911,0.0864971065406015
39,7,0.25,0.1,0.8,0.2,ok,,0.01652720550790976,0.028599535574677905,0.5778837025081969,0.5968901961375105,-0.03504586594412884,0.19999999999999998,443.8000000000001,0.4170233631234476,0.006192916966058658,0.05259250006732113,0.050760123682150486,0.0740229517339056
43,7,0.25,0.12,0.8,0.1,ok,,0.013643827719480806,0.023825920629196546,0.5726464018671122,0.5849982723290083,-0.02854373906074892,0.09999999999999999,221.90000000000006,0.3316192905663985,0.006830113243575191,0.055315468605726066,0.050518945717134583,0.09701242573410418
