mode,annualized_return,annualized_volatility,sharpe_ratio,weekly_sharpe_ratio,max_drawdown,average_turnover,average_gross_exposure,average_net_exposure,average_ex_ante_beta_to_factor,average_ex_ante_factor_exposure,ex_post_factor_betas,ex_post_factor_r2
long_only,0.30515550996351526,0.3334750979353058,0.9150773531603115,0.9877689548815031,-0.5542706430640822,0.3486930234090578,0.9290070655441642,0.9290070655441642,,,,
market_neutral,-0.04215447364884817,0.07657126083008946,-0.5505260484398755,-0.5335553132877466,-0.41412684024052115,0.3496251676150188,0.6573538291226441,0.00017452373620231753,,"{'nasdaq_proxy': 0.015678998850017344, 'growth_proxy': 0.005819263718866084}","{'nasdaq_proxy': 0.011913493500309355, 'growth_proxy': 0.015087999586551822}",0.003143514047535212
